code,name,date,size,value,profitability,investment,momentum,market
000002.SZ,万科A,20010201,0.0090,0.3151,6.1516,25.0871,1.0671,0.9420
000002.SZ,万科A,20010301,0.0087,0.3273,6.1516,25.0871,0.9842,0.6772
000002.SZ,万科A,20010401,0.0095,0.3050,6.3109,16.1133,1.0813,1.0795
000002.SZ,万科A,20010501,0.0092,0.3148,6.3109,16.1133,1.0418,1.0661
000002.SZ,万科A,20010601,0.0090,0.3244,6.3109,16.1133,1.0144,1.1681
000002.SZ,万科A,20010701,0.0092,0.3153,6.3109,16.1133,1.0580,1.1389
000002.SZ,万科A,20010801,0.0090,0.3232,6.3109,16.1133,0.9260,0.8768
000002.SZ,万科A,20010901,0.0092,0.3298,6.3109,16.1133,1.0731,0.8920
000002.SZ,万科A,20011001,0.0093,0.3289,6.3109,16.1133,0.9881,0.7286
000002.SZ,万科A,20011101,0.0085,0.3569,6.3109,16.1133,0.9309,0.6643
000002.SZ,万科A,20011201,0.0086,0.3559,6.3109,16.1133,0.9623,0.6618
000002.SZ,万科A,20020101,0.0082,0.3717,6.3109,16.1133,0.9123,0.5940
000002.SZ,万科A,20020201,0.0079,0.3866,6.3109,16.1133,0.9059,0.6388
000002.SZ,万科A,20020301,0.0079,0.3873,6.3109,16.1133,0.8654,0.6933
000002.SZ,万科A,20020401,0.0080,0.3902,5.4161,26.7304,0.8584,0.8287
000002.SZ,万科A,20020501,0.0078,0.4069,5.4161,26.7304,0.9263,0.9761
000002.SZ,万科A,20020601,0.0070,0.4481,5.4161,26.7304,0.8371,0.7557
000002.SZ,万科A,20020701,0.0083,0.3785,5.4161,26.7304,0.9895,1.1072
000002.SZ,万科A,20020801,0.0076,0.4133,5.4161,26.7304,0.9891,1.2172
000002.SZ,万科A,20020901,0.0075,0.4365,5.4161,26.7304,0.9542,1.1681
000002.SZ,万科A,20021001,0.0071,0.4582,5.4161,26.7304,0.9157,0.9757
000002.SZ,万科A,20021101,0.0070,0.4750,5.4161,26.7304,0.8988,0.8322
000002.SZ,万科A,20021201,0.0062,0.5361,5.4161,26.7304,0.9107,0.9065
000002.SZ,万科A,20030101,0.0058,0.5705,5.4161,26.7304,0.7422,0.6531
000002.SZ,万科A,20030201,0.0062,0.5317,5.4161,26.7304,0.8353,0.8416
000002.SZ,万科A,20030301,0.0067,0.4919,5.4161,26.7304,0.8701,0.8313
000002.SZ,万科A,20030401,0.0075,0.4514,6.0275,28.5451,1.0331,0.9172
000002.SZ,万科A,20030501,0.0086,0.3994,6.0275,28.5451,1.1680,1.0169
000002.SZ,万科A,20030601,0.0095,0.3594,6.0275,28.5451,1.4272,1.1981
000002.SZ,万科A,20030701,0.0076,0.4477,6.0275,28.5451,1.2234,1.1905
000002.SZ,万科A,20030801,0.0088,0.4844,6.0275,28.5451,1.2833,0.9713
000002.SZ,万科A,20030901,0.0091,0.4689,6.0275,28.5451,1.2683,0.8961
000002.SZ,万科A,20031001,0.0082,0.5232,6.0275,28.5451,1.0066,0.8378
000002.SZ,万科A,20031101,0.0085,0.5224,6.0275,28.5451,0.9385,0.8013
000002.SZ,万科A,20031201,0.0084,0.5233,6.0275,28.5451,0.8292,0.8088
000002.SZ,万科A,20040101,0.0096,0.4608,6.0275,28.5451,1.1241,1.0129
000002.SZ,万科A,20040201,0.0109,0.4051,6.0275,28.5451,1.2328,1.1501
000002.SZ,万科A,20040301,0.0117,0.3766,6.0275,28.5451,1.2640,1.3643
000002.SZ,万科A,20040401,0.0132,0.3571,6.9947,47.0918,1.5075,1.5765
000002.SZ,万科A,20040501,0.0112,0.4855,6.9947,47.0918,1.2954,1.3582
000002.SZ,万科A,20040601,0.0116,0.4675,6.9947,47.0918,1.2905,1.2242
000002.SZ,万科A,20040701,0.0115,0.4731,6.9947,47.0918,1.1218,0.8796
000002.SZ,万科A,20040801,0.0120,0.4507,6.9947,47.0918,1.0287,0.7849
000002.SZ,万科A,20040901,0.0113,0.4991,6.9947,47.0918,0.9284,0.6812
000002.SZ,万科A,20041001,0.0126,0.4461,6.9947,47.0918,0.9264,0.6802
000002.SZ,万科A,20041101,0.0115,0.4983,6.9947,47.0918,0.9813,0.7069
000002.SZ,万科A,20041201,0.0116,0.4915,6.9947,47.0918,1.0139,0.7712
000002.SZ,万科A,20050101,0.0120,0.4765,6.9947,47.0918,1.0825,0.8415
000002.SZ,万科A,20050201,0.0130,0.4398,6.9947,47.0918,1.0617,0.7665
000002.SZ,万科A,20050301,0.0130,0.4383,6.9947,47.0918,1.1354,0.9496
000002.SZ,万科A,20050401,0.0129,0.4794,7.6395,41.5720,1.0184,0.7297
000002.SZ,万科A,20050501,0.0130,0.4972,7.6395,41.5720,1.1798,0.7905
000002.SZ,万科A,20050601,0.0104,0.6198,7.6395,41.5720,0.9078,0.6437
000002.SZ,万科A,20050701,0.0108,0.5655,7.6395,41.5720,0.9224,0.7405
000002.SZ,万科A,20050801,0.0127,0.5247,7.6395,41.5720,1.0450,0.8353
000002.SZ,万科A,20050901,0.0127,0.5261,7.6395,41.5720,0.9925,0.8178
000002.SZ,万科A,20051001,0.0131,0.5070,7.6395,41.5720,1.0052,0.9624
000002.SZ,万科A,20051101,0.0137,0.4904,7.6395,41.5720,1.0060,0.8984
000002.SZ,万科A,20051201,0.0142,0.4741,7.6395,41.5720,1.3131,1.0643
000002.SZ,万科A,20060101,0.0173,0.3887,7.6395,41.5720,1.3729,1.1330
000002.SZ,万科A,20060201,0.0200,0.3371,7.6395,41.5720,1.2837,1.3131
000002.SZ,万科A,20060301,0.0204,0.3297,7.6395,41.5720,1.4919,1.2361
000002.SZ,万科A,20060401,0.0270,0.3077,6.7388,126.9869,1.8245,1.2471
000002.SZ,万科A,20060501,0.0272,0.3476,6.7388,126.9869,1.6226,1.6588
000002.SZ,万科A,20060601,0.0236,0.4001,6.7388,126.9869,1.5117,2.1388
000002.SZ,万科A,20060701,0.0235,0.4022,6.7388,126.9869,1.3109,1.9975
000002.SZ,万科A,20060801,0.0223,0.4404,6.7388,126.9869,1.1524,1.5708
000002.SZ,万科A,20060901,0.0269,0.3649,6.7388,126.9869,1.2955,1.5270
000002.SZ,万科A,20061001,0.0294,0.3338,6.7388,126.9869,1.1846,1.6954
000002.SZ,万科A,20061101,0.0323,0.3082,6.7388,126.9869,1.3475,1.5524
000002.SZ,万科A,20061201,0.0480,0.2071,6.7388,126.9869,2.0566,1.5368
000002.SZ,万科A,20070101,0.0676,0.2091,6.7388,126.9869,2.8004,2.2868
000002.SZ,万科A,20070201,0.0684,0.2068,6.7388,126.9869,2.7622,2.6383
000002.SZ,万科A,20070301,0.0612,0.2310,6.7388,126.9869,2.1359,2.8497
000002.SZ,万科A,20070401,0.0746,0.2001,7.0893,100.5100,2.1909,3.0735
000002.SZ,万科A,20070501,0.0869,0.1801,7.0893,100.5100,2.2060,3.8199
000002.SZ,万科A,20070601,0.1193,0.1257,7.0893,100.5100,2.4455,3.5364
000002.SZ,万科A,20070701,0.1222,0.1228,7.0893,100.5100,1.8693,1.9542
