date,market_return_ann
20010201,-0.0580
20010301,-0.3228
20010401,0.0795
20010501,0.0661
20010601,0.1681
20010701,0.1389
20010801,-0.1232
20010901,-0.1080
20011001,-0.2714
20011101,-0.3357
20011201,-0.3382
20020101,-0.4060
20020201,-0.3612
20020301,-0.3067
20020401,-0.1713
20020501,-0.0239
20020601,-0.2443
20020701,0.1072
20020801,0.2172
20020901,0.1681
20021001,-0.0243
20021101,-0.1678
20021201,-0.0935
20030101,-0.3469
20030201,-0.1584
20030301,-0.1687
20030401,-0.0828
20030501,0.0169
20030601,0.1981
20030701,0.1905
20030801,-0.0287
20030901,-0.1039
20031001,-0.1622
20031101,-0.1987
20031201,-0.1912
20040101,0.0129
20040201,0.1501
20040301,0.3643
20040401,0.5765
20040501,0.3582
20040601,0.2242
20040701,-0.1204
20040801,-0.2151
20040901,-0.3188
20041001,-0.3198
20041101,-0.2931
20041201,-0.2288
20050101,-0.1585
20050201,-0.2335
20050301,-0.0504
20050401,-0.2703
20050501,-0.2095
20050601,-0.3563
20050701,-0.2595
20050801,-0.1647
20050901,-0.1822
20051001,-0.0376
20051101,-0.1016
20051201,0.0643
20060101,0.1330
20060201,0.3131
20060301,0.2361
20060401,0.2471
20060501,0.6588
20060601,1.1388
20060701,0.9975
20060801,0.5708
20060901,0.5270
20061001,0.6954
20061101,0.5524
20061201,0.5368
20070101,1.2868
20070201,1.6383
20070301,1.8497
20070401,2.0735
20070501,2.8199
20070601,2.5364
20070701,0.9542
20070801,1.3971
20070901,1.7987
20071001,1.6610
20071101,1.2046
20071201,0.3459
20080101,0.7563
20080201,-0.0342
20080301,-0.2883
20080401,-0.5800
20080501,-0.5775
20080601,-0.4735
20080701,-0.6984
20080801,-0.5643
20080901,-0.6464
20081001,-0.5209
20081101,-0.7427
20081201,-0.6623
20090101,-0.5089
20090201,-0.4620
20090301,-0.2324
20090401,0.0644
20090501,0.9238
20090601,0.8803
20090701,1.4732
20090801,1.5622
20090901,0.5353
20091001,0.3148
20091101,0.4085
20091201,0.4060
20100101,0.1949
20100201,-0.2107
20100301,0.2879
20100401,0.2324
20100501,-0.0735
20100601,-0.3142
20100701,-0.4412
20100801,-0.2051
20100901,-0.2227
20101001,-0.2457
20101101,0.0714
20101201,0.1672
20110101,0.3229
20110201,0.1072
20110301,0.2019
20110401,0.1978
20110501,-0.0405
20110601,-0.0490
20110701,-0.0302
20110801,-0.0578
20110901,-0.1914
20111001,-0.3142
20111101,-0.2558
20111201,-0.2497
20120101,-0.3303
20120201,-0.2618
20120301,-0.0993
20120401,-0.0749
20120501,-0.0532
20120601,0.0310
20120701,0.0224
20120801,-0.1415
20120901,-0.2577
20121001,-0.1343
20121101,-0.2279
20121201,-0.2724
20130101,0.0345
20130201,0.2499
20130301,0.3150
20130401,0.1399
20130501,0.1014
20130601,0.3259
20130701,-0.2337
20130801,-0.2883
20130901,-0.1930
20131001,-0.0498
20131101,-0.0301
20131201,-0.0629
20140101,0.1248
20140201,0.0355
20140301,-0.0374
20140401,-0.1169
20140501,-0.0949
20140601,-0.1435
20140701,-0.0582
20140801,0.1559
20140901,0.1407
20141001,0.3010
20141101,0.3740
20141201,0.6335
20150101,1.2206
20150201,0.9634
20150301,1.1247
20150401,1.3615
20150501,2.0161
20150601,1.6777
20150701,0.6761
20150801,0.2690
20150901,-0.0536
20151001,-0.3011
20151101,-0.3881
20151201,-0.4064
20160101,-0.2835
20160201,-0.4087
20160301,-0.2821
20160401,-0.0291
20160501,-0.2226
20160601,-0.2577
20160701,-0.2929
20160801,0.1663
20160901,0.2675
20161001,0.0005
20161101,0.1026
20161201,0.2155
20170101,0.1078
20170201,0.1124
20170301,0.0982
20170401,0.1381
20170501,0.0320
20170601,-0.0743
20170701,0.0535
20170801,0.0659
20170901,0.0645
20171001,0.0701
20171101,0.1381
20171201,0.1147
20180101,0.0641
20180201,0.1135
20180301,-0.0555
20180401,-0.0971
20180501,-0.1616
20180601,-0.1191
20180701,-0.2417
20180801,-0.2972
20180901,-0.2666
20181001,-0.1862
20181101,-0.2592
20181201,-0.2721
20190101,-0.2096
20190201,-0.1729
20190301,0.1554
20190401,0.1853
20190501,0.3568
20190601,0.2330
20190701,0.3928
20190801,0.2630
20190901,-0.0323
20191001,-0.1032
20191101,-0.0857
20191201,-0.0164
20200101,0.0421
20200201,0.0279
20200301,-0.0038
20200401,-0.0963
20200501,-0.0421
20200601,-0.0126
20200701,-0.0400
20200801,0.2073
20200901,0.3360
20201001,0.3184
20201101,0.2459
20201201,0.3631
20210101,0.3029
20210201,0.0954
20210301,0.0637
20210401,0.1336
20210501,0.1266
20210601,0.1242
20210701,0.0643
20210801,-0.0447
20210901,0.0173
20211001,0.0660
20211101,0.0546
20211201,-0.0254
20220101,0.0239
20220201,-0.0190
20220301,-0.0432
20220401,-0.1575
20220501,-0.2398
20220601,-0.1870
20220701,-0.1209
20220801,-0.0587
20220901,-0.1275
20221001,-0.1209
20221101,-0.0897
20221201,-0.0195
20230101,-0.1546
20230201,0.0014
20230301,0.0460
20230401,0.1572
20230501,0.2837
20230601,0.0312
20230701,0.0692
20230801,0.0195
20230901,-0.0835
20231001,-0.0870
20231101,-0.1603
20231201,-0.0955
20240101,-0.1224
20240201,-0.2529
20240301,-0.0622
20240401,-0.0411
20240501,0.0524
20240601,0.0352
20240701,-0.0048
20240801,0.1028
20240901,-0.0987
20241001,0.1803
20241101,0.1048
20241201,0.1443
