code,name,date,return,size,value,profitability,investment,momentum,market
000002.SZ,万科A,20010201,-0.0776,0.0090,0.3151,0.0615,0.2509,1.7750,-0.0580
000002.SZ,万科A,20010301,0.0986,0.0087,0.3273,0.0615,0.2509,-0.1034,-0.3228
000002.SZ,万科A,20010401,-0.0365,0.0095,0.3050,0.0631,0.1611,0.3830,0.0795
000002.SZ,万科A,20010501,-0.0263,0.0092,0.3148,0.0631,0.1611,0.1295,0.0661
000002.SZ,万科A,20010601,0.0430,0.0090,0.3244,0.0631,0.1611,0.0349,0.1681
000002.SZ,万科A,20010701,-0.0660,0.0092,0.3153,0.0631,0.1611,0.1172,0.1389
000002.SZ,万科A,20010801,0.0688,0.0090,0.3232,0.0631,0.1611,-0.1314,-0.1232
000002.SZ,万科A,20010901,0.0116,0.0092,0.3298,0.0631,0.1611,0.1333,-0.1080
000002.SZ,万科A,20011001,-0.0922,0.0093,0.3289,0.0631,0.1611,-0.0214,-0.2714
000002.SZ,万科A,20011101,0.0066,0.0085,0.3569,0.0631,0.1611,-0.1240,-0.3357
000002.SZ,万科A,20011201,-0.0112,0.0086,0.3559,0.0631,0.1611,-0.0664,-0.3382
000002.SZ,万科A,20020101,-0.0726,0.0082,0.3717,0.0631,0.1611,-0.1502,-0.4060
000002.SZ,万科A,20020201,0.0210,0.0079,0.3866,0.0631,0.1611,-0.1633,-0.3612
000002.SZ,万科A,20020301,0.0034,0.0079,0.3873,0.0631,0.1611,-0.2511,-0.3067
000002.SZ,万科A,20020401,-0.0204,0.0080,0.3902,0.0542,0.2673,-0.2592,-0.1713
000002.SZ,万科A,20020501,-0.0904,0.0078,0.4069,0.0542,0.2673,-0.1351,-0.0239
000002.SZ,万科A,20020601,0.1688,0.0070,0.4481,0.0542,0.2673,-0.2948,-0.2443
000002.SZ,万科A,20020701,-0.0729,0.0083,0.3785,0.0542,0.2673,-0.0216,0.1072
000002.SZ,万科A,20020801,-0.0151,0.0076,0.4133,0.0542,0.2673,-0.0217,0.2172
000002.SZ,万科A,20020901,-0.0371,0.0075,0.4365,0.0542,0.2673,-0.0811,0.1681
000002.SZ,万科A,20021001,-0.0385,0.0071,0.4582,0.0542,0.2673,-0.1480,-0.0243
000002.SZ,万科A,20021101,-0.0783,0.0070,0.4750,0.0542,0.2673,-0.1818,-0.1678
000002.SZ,万科A,20021201,-0.0475,0.0062,0.5361,0.0542,0.2673,-0.1576,-0.0935
000002.SZ,万科A,20030101,0.0435,0.0058,0.5705,0.0542,0.2673,-0.4059,-0.3469
000002.SZ,万科A,20030201,0.0259,0.0062,0.5317,0.0542,0.2673,-0.2752,-0.1584
000002.SZ,万科A,20030301,0.1433,0.0067,0.4919,0.0542,0.2673,-0.2320,-0.1687
000002.SZ,万科A,20030401,0.0871,0.0075,0.4514,0.0603,0.2855,0.0631,-0.0828
000002.SZ,万科A,20030501,0.1262,0.0086,0.3994,0.0603,0.2855,0.3294,0.0169
000002.SZ,万科A,20030601,-0.1835,0.0095,0.3594,0.0603,0.2855,0.9866,0.1981
000002.SZ,万科A,20030701,0.0946,0.0076,0.4477,0.0603,0.2855,0.4807,0.1905
000002.SZ,万科A,20030801,0.0140,0.0088,0.4844,0.0603,0.2855,0.6049,-0.0287
000002.SZ,万科A,20030901,-0.0927,0.0091,0.4689,0.0603,0.2855,0.5352,-0.1039
000002.SZ,万科A,20031001,0.0136,0.0082,0.5232,0.0603,0.2855,0.0118,-0.1622
000002.SZ,万科A,20031101,-0.0050,0.0085,0.5224,0.0603,0.2855,-0.1107,-0.1987
000002.SZ,万科A,20031201,0.1068,0.0084,0.5233,0.0603,0.2855,-0.2827,-0.1912
000002.SZ,万科A,20040101,0.2004,0.0096,0.4608,0.0603,0.2855,0.2266,0.0129
000002.SZ,万科A,20040201,0.0397,0.0109,0.4051,0.0603,0.2855,0.4872,0.1501
000002.SZ,万科A,20040301,0.0821,0.0117,0.3766,0.0603,0.2855,0.5656,0.3643
000002.SZ,万科A,20040401,-0.1291,0.0132,0.3571,0.0699,0.4709,1.1782,0.5765
000002.SZ,万科A,20040501,-0.0088,0.0112,0.4855,0.0699,0.4709,0.6072,0.3582
000002.SZ,万科A,20040601,-0.0378,0.0116,0.4675,0.0699,0.4709,0.6219,0.2242
000002.SZ,万科A,20040701,0.1008,0.0115,0.4731,0.0699,0.4709,0.2460,-0.1204
000002.SZ,万科A,20040801,-0.0617,0.0120,0.4507,0.0699,0.4709,0.0515,-0.2151
000002.SZ,万科A,20040901,0.0798,0.0113,0.4991,0.0699,0.4709,-0.1217,-0.3188
000002.SZ,万科A,20041001,-0.0774,0.0126,0.4461,0.0699,0.4709,-0.1259,-0.3198
000002.SZ,万科A,20041101,0.0242,0.0115,0.4983,0.0699,0.4709,-0.0340,-0.2931
000002.SZ,万科A,20041201,0.0273,0.0116,0.4915,0.0699,0.4709,0.0244,-0.2288
000002.SZ,万科A,20050101,0.0796,0.0120,0.4765,0.0699,0.4709,0.1471,-0.1585
000002.SZ,万科A,20050201,0.0035,0.0130,0.4398,0.0699,0.4709,0.1111,-0.2335
000002.SZ,万科A,20050301,-0.0315,0.0130,0.4383,0.0699,0.4709,0.2724,-0.0504
000002.SZ,万科A,20050401,0.0688,0.0129,0.4794,0.0764,0.4157,0.0355,-0.2703
000002.SZ,万科A,20050501,-0.2120,0.0130,0.4972,0.0764,0.4157,0.3575,-0.2095
000002.SZ,万科A,20050601,0.0438,0.0104,0.6198,0.0764,0.4157,-0.1703,-0.3563
000002.SZ,万科A,20050701,0.2231,0.0108,0.5655,0.0764,0.4157,-0.1455,-0.2595
000002.SZ,万科A,20050801,-0.0470,0.0127,0.5247,0.0764,0.4157,0.0887,-0.1647
000002.SZ,万科A,20050901,-0.0190,0.0127,0.5261,0.0764,0.4157,-0.0133,-0.1822
000002.SZ,万科A,20051001,0.0696,0.0131,0.5070,0.0764,0.4157,0.0092,-0.0376
000002.SZ,万科A,20051101,0.0286,0.0137,0.4904,0.0764,0.4157,0.0117,-0.1016
000002.SZ,万科A,20051201,0.0913,0.0142,0.4741,0.0764,0.4157,0.8209,0.0643
000002.SZ,万科A,20060101,0.1437,0.0173,0.3887,0.0764,0.4157,1.0224,0.1330
000002.SZ,万科A,20060201,0.1076,0.0200,0.3371,0.0764,0.4157,0.7942,0.3131
000002.SZ,万科A,20060301,0.1996,0.0204,0.3297,0.0764,0.4157,1.7187,0.2361
000002.SZ,万科A,20060401,-0.0488,0.0270,0.3077,0.0674,1.2699,3.4209,0.2471
000002.SZ,万科A,20060501,-0.0416,0.0272,0.3476,0.0674,1.2699,1.8699,0.6588
000002.SZ,万科A,20060601,-0.0537,0.0236,0.4001,0.0674,1.2699,1.2199,1.1388
000002.SZ,万科A,20060701,0.0054,0.0235,0.4022,0.0674,1.2699,0.6785,0.9975
000002.SZ,万科A,20060801,0.2451,0.0223,0.4404,0.0674,1.2699,0.2998,0.5708
000002.SZ,万科A,20060901,0.0970,0.0269,0.3649,0.0674,1.2699,0.5830,0.5270
000002.SZ,万科A,20061001,0.0820,0.0294,0.3338,0.0674,1.2699,0.3573,0.6954
000002.SZ,万科A,20061101,0.4627,0.0323,0.3082,0.0674,1.2699,0.7357,0.5524
000002.SZ,万科A,20061201,0.2886,0.0480,0.2071,0.0674,1.2699,2.5940,0.5368
000002.SZ,万科A,20070101,-0.0083,0.0676,0.2091,0.0674,1.2699,5.5032,1.2868
000002.SZ,万科A,20070201,-0.0372,0.0684,0.2068,0.0674,1.2699,5.3430,1.6383
000002.SZ,万科A,20070301,0.1253,0.0612,0.2310,0.0674,1.2699,3.3253,1.8497
000002.SZ,万科A,20070401,0.0894,0.0746,0.2001,0.0709,1.0051,3.4837,2.0735
000002.SZ,万科A,20070501,0.6214,0.0869,0.1801,0.0709,1.0051,3.3716,2.8199
000002.SZ,万科A,20070601,-0.0150,0.1193,0.1257,0.0709,1.0051,4.6166,2.5364
000002.SZ,万科A,20070701,0.4804,0.1222,0.1228,0.0709,1.0051,2.2754,0.9542
000002.SZ,万科A,20070801,0.1942,0.1881,0.0797,0.0709,1.0051,5.8882,1.3971
000002.SZ,万科A,20070901,-0.1065,0.2209,0.0716,0.0709,1.0051,8.3853,1.7987
000002.SZ,万科A,20071001,0.2889,0.2283,0.1128,0.0709,1.0051,5.4829,1.6610
000002.SZ,万科A,20071101,-0.1897,0.2714,0.0962,0.0709,1.0051,8.1824,1.2046
000002.SZ,万科A,20071201,-0.0858,0.2235,0.1168,0.0709,1.0051,1.4175,0.3459
000002.SZ,万科A,20080101,-0.0967,0.2006,0.1301,0.0709,1.0051,1.1240,0.7563
000002.SZ,万科A,20080201,-0.1075,0.1855,0.1407,0.0709,1.0051,-0.1404,-0.0342
000002.SZ,万科A,20080301,0.1010,0.1608,0.1623,0.0709,1.0051,-0.5054,-0.2883
